Data,Vendedor,Cliente,Região,Produto,Valor
43578,Gabriel,Francyne Tavares,Nordeste,Power BI,300
43578,Gabriel,Marianne Kalaf,Sudeste,VBA,600
43578,Gabriel,Graziela Neiva,Norte,VBA,600
43579,Gabriel,Gerald Guilherme,Sul,VBA,600
43579,Diego,Yasmine Lencastre,Centro-Oeste,VBA,600
43580,Alon,Alex Magalhães,Sudeste,VBA,600
43580,Marcus,Izabelle Penedo,Centro-Oeste,Power BI,300
43581,Paulo,Karen Monte,Norte,Power BI,300
43582,Alon,Gabryela Tiradentes,Nordeste,VBA,600
43582,João,Jônatas Otavio,Centro-Oeste,Python,450
43582,João,Yuske Sant'Anna,Norte,Python,450
43582,João,Matheus Carneiro,Sul,Python,450
43583,João,Cassandra Aragão,Sudeste,Power BI,300
43583,Alon,Aledio Portella,Centro-Oeste,Power BI,300
43583,Marcus,Mylla Benvinda,Sudeste,Power BI,300
43584,João,Brenno Andréa,Sudeste,Python,450
43584,Alon,Thayli Ferreirinha,Norte,VBA,600
43584,Paulo,Anna Bakman,Centro-Oeste,Python,450
43584,Alon,Henrique Caetano,Sudeste,VBA,600
43585,Gabriel,Érico Brandão,Centro-Oeste,Power BI,300
43585,Paulo,Dayane Fontenele,Norte,VBA,600
43585,Diego,Edson Cavalcanti,Sudeste,Python,450
43586,Marcus,Yohanan Carrera,Norte,Power BI,300
43586,Paulo,Frederico Franciele,Sudeste,Excel,500
43586,Alon,Aledio Fonseca,Sudeste,Excel,500
43587,Marcus,Thayná Caldas,Norte,Python,450
43587,Gabriel,Emmanuel Bogossian,Sudeste,Excel,500
43587,Alon,Thainá Tostes,Norte,Excel,500
43587,Marcus,Fabricio Machado,Sul,Excel,500
43587,Paulo,Cecília Sofia,Sul,Python,450
43588,João,Fátima Rossi,Sudeste,Excel,500
43588,João,Constantino Amorim,Sudeste,Excel,500
43588,Paulo,Beatriz Lopes,Centro-Oeste,Python,450
43588,Paulo,Taila Otavio,Sudeste,Excel,500
43589,Gabriel,Rhanna Blumgrund,Sudeste,VBA,600
43589,Alon,Christine Ognibene,Norte,Python,450
43591,Marcus,Luana Kranz,Sudeste,Power BI,300
43591,João,Lohany Senderowicz,Norte,Python,450
43591,Paulo,Mirian Costalforne,Sul,Python,450
43592,Marcus,Alexandra Sara,Centro-Oeste,Power BI,300
43592,Alon,Thayane Rodino,Sudeste,Power BI,300
43592,Paulo,Yla Silva,Sudeste,VBA,600
43592,Marcus,Wellington Kalaf,Sudeste,Python,450
43592,Paulo,Marianne Maués,Sudeste,Excel,500
43593,Alon,Douglas Gabrielen,Sudeste,Power BI,300
43593,João,Pietro Trinta,Sudeste,VBA,600
43593,Marcus,Edson Viana,Norte,Python,450
43593,Marcus,Samuel Stellet,Norte,Power BI,300
43594,Gabriel,Thais Marinho,Sudeste,Excel,500
43594,Marcus,Geani Pisani,Sudeste,Excel,500
43594,Alon,Nathália Baldanzi,Sudeste,Power BI,300
43594,Diego,Stella Penna,Sudeste,VBA,600
43595,Diego,Jose Campos,Sul,Python,450
43595,Marcus,Izadora Mizrahy,Sudeste,VBA,600
43595,Marcus,Leonardo Benvinda,Sudeste,Excel,500
43595,João,Roger Mendes,Nordeste,Power BI,300
43595,Marcus,Gabriella Stellet,Sul,Power BI,300
43596,Gabriel,Raíza Barroso,Sudeste,VBA,600
43596,Alon,Cynthia Salomao,Nordeste,VBA,600
43596,Diego,Ruan Rayol,Sul,VBA,600
43599,Diego,Rodrigo Smolarek,Sudeste,Excel,500
43599,Gabriel,Arnaldo Rubio,Centro-Oeste,VBA,600
43599,João,Stephanie Cristina,Nordeste,Python,450
43599,Paulo,Beatriz Azevedo,Centro-Oeste,Python,450
43599,Paulo,Isabella Gabriel,Sudeste,Excel,500
43600,Marcus,Yuske Sone,Sul,Python,450
43601,Paulo,Camille Sofia,Sul,Power BI,300
43601,João,Bernardo Huon,Centro-Oeste,Power BI,300
43601,Marcus,Ives Muniz,Norte,Python,450
43602,Paulo,Catarina Marcio,Sudeste,Excel,500
43602,Gabriel,Rafael Neves,Nordeste,Excel,500
43603,João,Michele Soibelman,Nordeste,Excel,500
43603,Marcus,Samir Baldanzi,Centro-Oeste,Python,450
43604,Alon,Giuseppe Nobili,Centro-Oeste,Power BI,300
43604,Marcus,Leticia Hermsdorff,Norte,Excel,500
43604,Diego,Sylvio Victor,Centro-Oeste,Power BI,300
43604,João,Adrian Tiradentes,Nordeste,Python,450
43605,João,Wen Fracalossi,Sudeste,Python,450
43605,Gabriel,Daniele Mosqueira,Centro-Oeste,VBA,600
43605,Marcus,Cinthia Brendalina,Nordeste,Python,450
43605,Gabriel,Cristiane Domingues,Centro-Oeste,Excel,500
43606,Gabriel,Izadora La,Sudeste,VBA,600
43606,Gabriel,Dayna Crespo,Sudeste,Word,600
43606,Paulo,Gisely Mercês,Centro-Oeste,Word,500
43607,Alon,Giulia Moutinho,Norte,Word,500
43607,Gabriel,Walace Paes,Centro-Oeste,Word,300
43607,Gabriel,Tayane Roberto,Centro-Oeste,Word,600
43608,Diego,Jade Sant'Anna,Sul,Word,600
43608,João,Flávio Tostes,Centro-Oeste,Word,300
43608,João,Walace Brasil,Norte,Word,500
43608,Diego,Bernard Pflueger,Sul,Word,500
43608,Diego,Geam Paulo,Norte,Word,500
43608,Marcus,Christine Cravo,Norte,Word,500
43608,Marcus,Eliane Fuchs,Centro-Oeste,Power BI,300
43608,Gabriel,Vitor Fernandez,Centro-Oeste,Word,450
43609,Marcus,Guilherme Villar,Centro-Oeste,Power BI,300
43609,Marcus,Stephanie Limp,Centro-Oeste,Power BI,300
43609,Marcus,Murillo Yumi,Centro-Oeste,Power BI,300
43609,Gabriel,Drielly Gonçalves,Norte,Excel,500
43610,Paulo,Stephanie La,Sudeste,Excel,500
43610,Gabriel,Cristiane Duarte,Sudeste,Python,450
43611,Marcus,Fernanda Campos,Centro-Oeste,Power BI,300
43611,Diego,Luísa Bachini,Centro-Oeste,Python,450
43611,Diego,Taiza Rabelo,Centro-Oeste,Python,450
43612,Marcus,Flávio Amor,Nordeste,Excel,500
43612,Alon,Mauro Piccinini,Nordeste,Excel,500
43612,Paulo,Eduardo Lopez,Sul,VBA,600
43612,Gabriel,Raiza Dourado,Sudeste,Python,450
43613,Alon,Raquel Zacharias,Sudeste,VBA,600
43613,Marcus,Raiam Carrera,Norte,Word,600
43613,Diego,Davi Gracio,Sul,Word,450
43613,Marcus,Rodney Ognibene,Sudeste,Word,300
43614,Paulo,Wesley Freixo,Sudeste,Word,500
43614,João,Jeferson Bello,Centro-Oeste,Word,600
43614,João,Kaio Machado,Nordeste,Word,450
43615,Diego,Bianca Yosef,Sudeste,VBA,600
43615,Diego,Nathália Abramovitz,Centro-Oeste,Power BI,300
43615,Marcus,Rodrigo Silveira,Norte,Python,450
43615,Marcus,Dalvan Yehudah,Sul,Python,450
43615,Diego,Nathalie Jose,Norte,Excel,500
43615,Diego,Carlos Cristine,Centro-Oeste,VBA,600
43615,Diego,Marjorie Gomes,Centro-Oeste,Power BI,300
43615,Marcus,Leandro Siqueira,Sudeste,Excel,500
43616,Alon,Wendela Tassara,Norte,Excel,500
43616,Diego,Camilla Benvinda,Sul,Power BI,300
43617,Diego,Naiara Nuñez,Sudeste,Power BI,300
