Data;Ano;Mês;Vendedor;Cliente;Região;Produto;Valor
26/01/2019;2019;jan;João;Platini Blanc;Norte;Python;R$ 450,00
27/01/2019;2019;jan;Diego;Sandy Abi-Ramia;Sudeste;Excel;R$ 500,00
27/01/2019;2019;jan;Paulo;Thomaz Akerman;Sudeste;Python;R$ 450,00
27/01/2019;2019;jan;Marcus;Luana Abranches;Nordeste;Python;R$ 450,00
27/01/2019;2019;jan;Paulo;Victória Osman;Nordeste;Power BI;R$ 300,00
27/01/2019;2019;jan;Diego;Vívian Sayuri;Sul;Power BI;R$ 300,00
27/01/2019;2019;jan;Marcus;Wagner Godinho;Nordeste;Word;R$ 600,00
27/01/2019;2019;jan;Gabriel;Arnaldo Jiun;Sudeste;Word;R$ 500,00
27/01/2019;2019;jan;Marcus;Thauan Li;Norte;Word;R$ 600,00
28/01/2019;2019;jan;Paulo;Thales Cardoso;Sudeste;Power BI;R$ 300,00
28/01/2019;2019;jan;Paulo;Silvio Sant'Anna;Sudeste;Word;R$ 500,00
28/01/2019;2019;jan;Alon;Luiza Helena;Nordeste;Python;R$ 450,00
28/01/2019;2019;jan;Diego;Thayná Fioravante;Norte;Power BI;R$ 300,00
29/01/2019;2019;jan;Diego;Breno Portillo;Sudeste;Word;R$ 500,00
29/01/2019;2019;jan;Marcus;Bruno Vannier;Norte;Power BI;R$ 300,00
29/01/2019;2019;jan;Gabriel;Jeter Brandão;Norte;Power BI;R$ 300,00
29/01/2019;2019;jan;Marcus;Gianluca Póvoa;Sudeste;Word;R$ 600,00
29/01/2019;2019;jan;Alon;Samuel Ana;Norte;Power BI;R$ 300,00
30/01/2019;2019;jan;Alon;Hygor Souza;Nordeste;Power BI;R$ 300,00
31/01/2019;2019;jan;João;Mateus Victório;Sul;Python;R$ 450,00
31/01/2019;2019;jan;Marcus;Ary Capitulo;Sudeste;Word;R$ 500,00
31/01/2019;2019;jan;Paulo;Micaele Amorim;Sudeste;Word;R$ 500,00
31/01/2019;2019;jan;Alon;Valentina Dainara;Sudeste;Word;R$ 500,00
01/02/2019;2019;fev;Alon;Alexsandro Mainente;Sudeste;Word;R$ 500,00
01/02/2019;2019;fev;Alon;Emilaine Silotti;Sudeste;Word;R$ 500,00
01/02/2019;2019;fev;Marcus;Katarine Titonelli;Norte;Power BI;R$ 300,00
01/02/2019;2019;fev;Marcus;Ariel Miranda;Sul;Word;R$ 600,00
02/02/2019;2019;fev;Alon;Alexsandro Tiradentes;Sudeste;Word;R$ 500,00
02/02/2019;2019;fev;Paulo;Ericka Teles;Norte;Power BI;R$ 300,00
02/02/2019;2019;fev;Marcus;Karollayne Yudi;Sudeste;Word;R$ 600,00
03/02/2019;2019;fev;Marcus;José Lencastre;Centro-Oeste;Power BI;R$ 300,00
03/02/2019;2019;fev;Marcus;Alfredo Viana;Sudeste;Word;R$ 600,00
03/02/2019;2019;fev;Gabriel;Lucas Borowicz;Sudeste;Power BI;R$ 300,00
04/02/2019;2019;fev;Gabriel;Filippo Carvalho;Sul;Power BI;R$ 300,00
04/02/2019;2019;fev;Alon;Tayna Sodré;Nordeste;Word;R$ 600,00
04/02/2019;2019;fev;João;Andreza Balbi;Sudeste;Word;R$ 600,00
05/02/2019;2019;fev;Gabriel;Marco Benvinda;Nordeste;Python;R$ 450,00
05/02/2019;2019;fev;Alon;Thayza Maria;Norte;Power BI;R$ 300,00
05/02/2019;2019;fev;João;Thaís Piero;Nordeste;Python;R$ 450,00
05/02/2019;2019;fev;Alon;Caroll Lencastre;Centro-Oeste;Power BI;R$ 300,00
06/02/2019;2019;fev;Diego;Saranna Barros;Sul;Python;R$ 450,00
06/02/2019;2019;fev;Marcus;Ricardo Lund;Centro-Oeste;Word;R$ 600,00
07/02/2019;2019;fev;Alon;Karoline Lopes;Sudeste;Word;R$ 500,00
07/02/2019;2019;fev;Marcus;Patricia Ontiveros;Sudeste;Word;R$ 600,00
08/02/2019;2019;fev;Gabriel;Marcos Vargas;Norte;Word;R$ 500,00
09/02/2019;2019;fev;Alon;Hanna Coimbra;Norte;Word;R$ 600,00
09/02/2019;2019;fev;Alon;Giuseppe Alves;Sul;Word;R$ 500,00
11/02/2019;2019;fev;Gabriel;Helvio Baptista;Sul;Power BI;R$ 300,00
11/02/2019;2019;fev;Marcus;Jonnathan Infante;Norte;Word;R$ 500,00
11/02/2019;2019;fev;Gabriel;Carolina Garambone;Centro-Oeste;Word;R$ 500,00
12/02/2019;2019;fev;Marcus;Jamile Frossard;Sul;Word;R$ 600,00
12/02/2019;2019;fev;Alon;Célio Fioretti;Nordeste;Word;R$ 600,00
12/02/2019;2019;fev;Alon;Barbara Marcolini;Sul;Word;R$ 600,00
12/02/2019;2019;fev;Marcus;Rodney Thadeu;Nordeste;Python;R$ 450,00
12/02/2019;2019;fev;Marcus;Isaac Novarino;Sul;Power BI;R$ 300,00
13/02/2019;2019;fev;Gabriel;Jéssica Bitencourt;Sudeste;Word;R$ 600,00
13/02/2019;2019;fev;Gabriel;Tayla Aragão;Sudeste;Word;R$ 600,00
13/02/2019;2019;fev;João;Ruan Rabelo;Norte;Word;R$ 500,00
13/02/2019;2019;fev;Diego;Giovanni Azeredo;Nordeste;Power BI;R$ 300,00
13/02/2019;2019;fev;Gabriel;Thamirez Coimbra;Norte;Word;R$ 600,00
14/02/2019;2019;fev;Gabriel;Sebastião Vasconcelos;Sudeste;Word;R$ 600,00
14/02/2019;2019;fev;Marcus;Ângelo Suzano;Centro-Oeste;Python;R$ 450,00
14/02/2019;2019;fev;Alon;Leticia Ladogano;Centro-Oeste;Word;R$ 500,00
14/02/2019;2019;fev;Paulo;Cynthia Silveira;Nordeste;Power BI;R$ 300,00
15/02/2019;2019;fev;João;Samantha Bello;Centro-Oeste;Python;R$ 450,00
15/02/2019;2019;fev;Paulo;Bernard Silvestre;Nordeste;Power BI;R$ 300,00
15/02/2019;2019;fev;Gabriel;Cecília Barros;Sul;Word;R$ 500,00
16/02/2019;2019;fev;Gabriel;Luize Nobili;Nordeste;Word;R$ 500,00
17/02/2019;2019;fev;Gabriel;Jéssica Carelli;Sudeste;Word;R$ 600,00
17/02/2019;2019;fev;Diego;Vicente Gabrielen;Norte;Python;R$ 450,00
18/02/2019;2019;fev;Alon;Júlia Iris;Sul;Word;R$ 500,00
18/02/2019;2019;fev;Alon;Tomas Cassabian;Norte;Power BI;R$ 300,00
18/02/2019;2019;fev;Gabriel;Marcos Dalforne;Norte;Word;R$ 600,00
19/02/2019;2019;fev;Alon;Katherine Andrade;Norte;Python;R$ 450,00
19/02/2019;2019;fev;Paulo;Jamile Póvoa;Norte;Word;R$ 500,00
19/02/2019;2019;fev;Gabriel;Bernardo Maria;Nordeste;Word;R$ 500,00
19/02/2019;2019;fev;Paulo;Jefferson Silvestre;Sudeste;Python;R$ 450,00
20/02/2019;2019;fev;Alon;Nathalya Pessoa;Norte;Python;R$ 450,00
20/02/2019;2019;fev;Marcus;Marianne Bogossian;Sudeste;Word;R$ 600,00
20/02/2019;2019;fev;Paulo;Jose Salomão;Norte;Word;R$ 600,00
20/02/2019;2019;fev;Paulo;Adrizia Valiate;Norte;Power BI;R$ 300,00
20/02/2019;2019;fev;Alon;Gabriella Macedo;Sul;Word;R$ 500,00
20/02/2019;2019;fev;João;Cláudio Sampaio;Nordeste;Python;R$ 450,00
21/02/2019;2019;fev;Alon;Thomas Marcio;Centro-Oeste;Power BI;R$ 300,00
22/02/2019;2019;fev;Marcus;Frederico Nunes;Centro-Oeste;Python;R$ 450,00
22/02/2019;2019;fev;Alon;Marcus Vargas;Sudeste;Word;R$ 600,00
22/02/2019;2019;fev;Gabriel;Francyne Baptista;Sudeste;Power BI;R$ 300,00
23/02/2019;2019;fev;João;Yasser Scaldini;Centro-Oeste;Python;R$ 450,00
24/02/2019;2019;fev;Gabriel;Taís Freire;Norte;Power BI;R$ 300,00
24/02/2019;2019;fev;Diego;Mauricio Gabrielle;Sul;Python;R$ 450,00
24/02/2019;2019;fev;Alon;Rubyson Francisca;Norte;Word;R$ 500,00
25/02/2019;2019;fev;Alon;Isabella Maria;Sudeste;Word;R$ 600,00
25/02/2019;2019;fev;Marcus;Aledio Provenzano;Nordeste;Power BI;R$ 300,00
25/02/2019;2019;fev;João;Raísa Tiradentes;Norte;Power BI;R$ 300,00
25/02/2019;2019;fev;Marcus;Alfredo Flôr;Norte;Power BI;R$ 300,00
26/02/2019;2019;fev;Alon;Izabel Mateus;Centro-Oeste;Word;R$ 500,00
26/02/2019;2019;fev;Alon;Sarah Gabrielle;Nordeste;Word;R$ 500,00
26/02/2019;2019;fev;Paulo;Luísa Barrionuevo;Nordeste;Power BI;R$ 300,00
27/02/2019;2019;fev;Diego;Marcus Macedo;Norte;Power BI;R$ 300,00
27/02/2019;2019;fev;Diego;Julyana Carmo;Nordeste;Python;R$ 450,00
27/02/2019;2019;fev;João;Christiane Póvoa;Norte;Word;R$ 500,00
27/02/2019;2019;fev;João;Miguel Ramos;Sul;Python;R$ 450,00
27/02/2019;2019;fev;João;Artur Reis;Sul;Word;R$ 600,00
27/02/2019;2019;fev;Diego;Laura Corrêa;Norte;Power BI;R$ 300,00
28/02/2019;2019;fev;Alon;Talline Bittencourt;Centro-Oeste;Python;R$ 450,00
28/02/2019;2019;fev;Diego;Daniel Smolarek;Norte;Power BI;R$ 300,00
28/02/2019;2019;fev;Diego;Adrian Cezar;Nordeste;Power BI;R$ 300,00
28/02/2019;2019;fev;Paulo;Cristina Antônio;Sudeste;Word;R$ 600,00
28/02/2019;2019;fev;Gabriel;Thales Iris;Nordeste;Word;R$ 500,00
01/03/2019;2019;mar;Paulo;Jessica Messias;Nordeste;Word;R$ 500,00
01/03/2019;2019;mar;Gabriel;Yasser Yudi;Centro-Oeste;Python;R$ 450,00
01/03/2019;2019;mar;João;Leonardo Carmo;Nordeste;Word;R$ 450,00
02/03/2019;2019;mar;Diego;Leandro Gerhad;Sul;Word;R$ 300,00
02/03/2019;2019;mar;Gabriel;Bruna Domingues;Sudeste;Word;R$ 450,00
02/03/2019;2019;mar;Diego;Cláudia Monte;Nordeste;Word;R$ 450,00
02/03/2019;2019;mar;Marcus;Thamires Souza;Centro-Oeste;Word;R$ 450,00
03/03/2019;2019;mar;Paulo;Walmyr Said;Centro-Oeste;Word;R$ 450,00
03/03/2019;2019;mar;Diego;Platini Barreira;Sudeste;Word;R$ 500,00
03/03/2019;2019;mar;Paulo;Mirian Fagundes;Nordeste;Word;R$ 450,00
03/03/2019;2019;mar;Diego;Francisco Gomes;Sul;Word;R$ 600,00
03/03/2019;2019;mar;Paulo;Christian Vargas;Norte;Word;R$ 450,00
04/03/2019;2019;mar;João;Carolina Francisco;Norte;Word;R$ 450,00
04/03/2019;2019;mar;João;Livia Andréa;Centro-Oeste;Word;R$ 450,00
05/03/2019;2019;mar;Gabriel;Vinicius Nemitz;Sudeste;Python;R$ 450,00
05/03/2019;2019;mar;Diego;Jo?o Andréa;Sudeste;Power BI;R$ 300,00
05/03/2019;2019;mar;Diego;Ester Paulo;Sul;Power BI;R$ 300,00
05/03/2019;2019;mar;Diego;Cecília dos;Sudeste;Word;R$ 600,00
06/03/2019;2019;mar;Diego;Isadora Whitaker;Nordeste;Power BI;R$ 300,00
06/03/2019;2019;mar;João;Renan Henrique;Centro-Oeste;Python;R$ 450,00
06/03/2019;2019;mar;Gabriel;Gabriel Marques;Sudeste;Word;R$ 600,00
07/03/2019;2019;mar;João;Sara Corrêa;Sudeste;Excel;R$ 500,00
08/03/2019;2019;mar;Alon;Drielly Brendalina;Nordeste;Excel;R$ 500,00
08/03/2019;2019;mar;Alon;Taila Suzano;Norte;Python;R$ 450,00
09/03/2019;2019;mar;Alon;Renata Paulino;Sudeste;VBA;R$ 600,00
09/03/2019;2019;mar;Alon;Nathalie Galera;Norte;Excel;R$ 500,00
10/03/2019;2019;mar;Marcus;Karollayne Reyna;Sul;Python;R$ 450,00
10/03/2019;2019;mar;Alon;Mônica Silvestre;Norte;VBA;R$ 600,00
10/03/2019;2019;mar;Marcus;Nathalya Pinto;Sudeste;VBA;R$ 600,00
10/03/2019;2019;mar;Alon;Yasmine Pacheco;Sudeste;Excel;R$ 500,00
11/03/2019;2019;mar;Alon;Alan Hudson;Centro-Oeste;Excel;R$ 500,00
11/03/2019;2019;mar;Alon;Marcus Florêncio;Norte;VBA;R$ 600,00
11/03/2019;2019;mar;Marcus;Cláudia Freixo;Sudeste;Excel;R$ 500,00
12/03/2019;2019;mar;Marcus;Manuela Carvalhal;Sul;Python;R$ 450,00
13/03/2019;2019;mar;Diego;Karina Magalhaes;Norte;Excel;R$ 500,00
14/03/2019;2019;mar;Diego;Fabiano Degasperi;Norte;Power BI;R$ 300,00
14/03/2019;2019;mar;Marcus;Samir Faller;Sudeste;VBA;R$ 600,00
14/03/2019;2019;mar;Diego;Karoliny Kranz;Nordeste;Power BI;R$ 300,00
14/03/2019;2019;mar;Marcus;Willian Ontiveros;Norte;Excel;R$ 500,00
14/03/2019;2019;mar;Paulo;Ingra Bogossian;Nordeste;Excel;R$ 500,00
14/03/2019;2019;mar;Marcus;Fellipe Gallo;Centro-Oeste;Python;R$ 450,00
14/03/2019;2019;mar;Diego;Suelen Hermsdorff;Centro-Oeste;Python;R$ 450,00
14/03/2019;2019;mar;Marcus;Jessica Ferreira;Centro-Oeste;VBA;R$ 600,00
14/03/2019;2019;mar;João;Izabella Flôr;Centro-Oeste;Power BI;R$ 300,00
15/03/2019;2019;mar;Marcus;Raísa Tavares;Sudeste;VBA;R$ 600,00
15/03/2019;2019;mar;Marcus;Francyne Cavalcanti;Nordeste;Excel;R$ 500,00
15/03/2019;2019;mar;Marcus;Ariel Vinicius;Nordeste;Power BI;R$ 300,00
15/03/2019;2019;mar;Marcus;Eriko Titonelli;Centro-Oeste;Power BI;R$ 300,00
15/03/2019;2019;mar;Gabriel;Edson Jalles;Norte;Excel;R$ 500,00
15/03/2019;2019;mar;Gabriel;Lorena Ávila;Centro-Oeste;Python;R$ 450,00
15/03/2019;2019;mar;Alon;Rojane Cristine;Nordeste;Power BI;R$ 300,00
15/03/2019;2019;mar;João;Marjorie Cesar;Sudeste;Python;R$ 450,00
15/03/2019;2019;mar;Alon;Murilo Balassiano;Sul;Python;R$ 450,00
16/03/2019;2019;mar;João;Taila Dourado;Centro-Oeste;Python;R$ 450,00
17/03/2019;2019;mar;Alon;Olívia Fontenelle;Centro-Oeste;Excel;R$ 500,00
17/03/2019;2019;mar;Alon;Giovanna Catarino;Sul;Python;R$ 450,00
17/03/2019;2019;mar;Marcus;Davi Titonelli;Centro-Oeste;VBA;R$ 600,00
17/03/2019;2019;mar;Alon;Ivana Braga;Norte;Python;R$ 450,00
18/03/2019;2019;mar;Paulo;Érica Infante;Sudeste;Python;R$ 450,00
18/03/2019;2019;mar;Marcus;Roger de;Sul;VBA;R$ 600,00
20/03/2019;2019;mar;Gabriel;Ingra Garambone;Norte;Power BI;R$ 300,00
20/03/2019;2019;mar;Alon;Constantino Santana;Norte;Power BI;R$ 300,00
21/03/2019;2019;mar;Paulo;Thainá José;Norte;Power BI;R$ 300,00
21/03/2019;2019;mar;Gabriel;Samuel Vilas;Sudeste;Word;R$ 600,00
21/03/2019;2019;mar;Alon;Thomaz Novarino;Sul;Power BI;R$ 300,00
21/03/2019;2019;mar;Alon;Nicholas Cristine;Sul;Power BI;R$ 300,00
22/03/2019;2019;mar;Diego;Gisely Abramovitz;Norte;Power BI;R$ 300,00
22/03/2019;2019;mar;Diego;Tiago Yosef;Centro-Oeste;Python;R$ 450,00
22/03/2019;2019;mar;João;Stefan Silvestre;Sudeste;Word;R$ 500,00
22/03/2019;2019;mar;Marcus;Alecssander Navega;Nordeste;Word;R$ 500,00
23/03/2019;2019;mar;Diego;Maurício Gama;Centro-Oeste;Python;R$ 450,00
23/03/2019;2019;mar;Gabriel;Ana Nemitz;Nordeste;Word;R$ 500,00
24/03/2019;2019;mar;Gabriel;Elana Domingues;Nordeste;Python;R$ 450,00
24/03/2019;2019;mar;Gabriel;Tainara Barberini;Sudeste;Power BI;R$ 300,00
24/03/2019;2019;mar;Gabriel;Ary Dalforne;Centro-Oeste;Word;R$ 600,00
25/03/2019;2019;mar;Diego;Jessica Penedo;Sudeste;Word;R$ 600,00
25/03/2019;2019;mar;Alon;Paula Santos;Norte;Word;R$ 500,00
26/03/2019;2019;mar;Paulo;Thomas Brendalina;Sul;Power BI;R$ 300,00
26/03/2019;2019;mar;Diego;Venan Bernardo;Sul;Power BI;R$ 300,00
26/03/2019;2019;mar;Paulo;Eugênio Mosqueira;Sudeste;Word;R$ 600,00
27/03/2019;2019;mar;Gabriel;Eduardo Thadeu;Sul;Python;R$ 450,00
27/03/2019;2019;mar;Diego;Beatriz Miguel;Norte;Word;R$ 500,00
27/03/2019;2019;mar;Gabriel;Nicholas Gouvêa;Norte;Python;R$ 450,00
28/03/2019;2019;mar;Gabriel;Julia Tassara;Sul;Power BI;R$ 300,00
28/03/2019;2019;mar;Alon;Hércules Fernando;Centro-Oeste;Word;R$ 500,00
29/03/2019;2019;mar;Diego;Tiago Barrionuevo;Sudeste;Word;R$ 600,00
29/03/2019;2019;mar;Diego;Lucca Lobo;Nordeste;Word;R$ 500,00
29/03/2019;2019;mar;Alon;Wendela Magalhães;Norte;Word;R$ 500,00
29/03/2019;2019;mar;João;Luã Comas;Norte;Power BI;R$ 300,00
30/03/2019;2019;mar;Gabriel;Millena Malher;Norte;Word;R$ 600,00
30/03/2019;2019;mar;Alon;Allan Yen;Sudeste;Power BI;R$ 300,00
30/03/2019;2019;mar;Diego;Kim Ronfini;Nordeste;Word;R$ 500,00
30/03/2019;2019;mar;Gabriel;Anderson Perim;Norte;Python;R$ 450,00
30/03/2019;2019;mar;Alon;Gleydson Mendonça;Nordeste;Power BI;R$ 300,00
30/03/2019;2019;mar;Paulo;Lucca Nogueira;Nordeste;VBA;R$ 600,00
31/03/2019;2019;mar;Gabriel;Thomáz Pires;Sul;Power BI;R$ 300,00
31/03/2019;2019;mar;Alon;Domenik Faller;Centro-Oeste;Python;R$ 450,00
01/04/2019;2019;abr;Alon;Thaís Rubinstein;Norte;Power BI;R$ 300,00
01/04/2019;2019;abr;Gabriel;Ylana Lopez;Sudeste;VBA;R$ 600,00
02/04/2019;2019;abr;Gabriel;Leon Caldana;Sudeste;VBA;R$ 600,00
02/04/2019;2019;abr;Paulo;Alberto Yumi;Norte;Python;R$ 450,00
03/04/2019;2019;abr;Paulo;Michelle Cassabian;Sudeste;VBA;R$ 600,00
04/04/2019;2019;abr;João;Patrícia Cavalca;Norte;Power BI;R$ 300,00
04/04/2019;2019;abr;Gabriel;Zilma Cromwell;Norte;VBA;R$ 600,00
04/04/2019;2019;abr;Paulo;Julia Pinto;Nordeste;Excel;R$ 500,00
05/04/2019;2019;abr;João;Thadeu Melo;Sul;Power BI;R$ 300,00
05/04/2019;2019;abr;Diego;Thaina Goldoni;Norte;VBA;R$ 600,00
05/04/2019;2019;abr;Alon;Jade Frossard;Sudeste;VBA;R$ 600,00
05/04/2019;2019;abr;Gabriel;Tadeu Bastos;Sudeste;VBA;R$ 600,00
06/04/2019;2019;abr;Gabriel;Sandro Yen;Sudeste;Excel;R$ 500,00
06/04/2019;2019;abr;Gabriel;Maciela Nuñez;Centro-Oeste;VBA;R$ 600,00
06/04/2019;2019;abr;João;Hygor Hippertt;Nordeste;Excel;R$ 500,00
06/04/2019;2019;abr;João;Lara Coelho;Sudeste;VBA;R$ 600,00
07/04/2019;2019;abr;João;Alex Mercês;Centro-Oeste;Python;R$ 450,00
07/04/2019;2019;abr;João;Raiza Villela;Nordeste;Python;R$ 450,00
07/04/2019;2019;abr;Gabriel;Liz Vinicius;Sul;Excel;R$ 500,00
07/04/2019;2019;abr;Alon;Iris Cassabian;Sudeste;Excel;R$ 500,00
